Points,Domain
2,https://akrabat.com/
2,https://engineering.imvu.com/
2,http://engineering.wingify.com/
2,http://blog.wittchen.biz.pl/
2,http://blog.hypriot.com/
2,http://iansommerville.com/systems-software-and-technology/
1,https://blog.sketchapp.com/
1,https://www.madetech.com/blog
1,https://blog.moove-it.com/
1,http://tech.transferwise.com/
1,http://rockthecode.io/
1,http://engineering.tripadvisor.com/
1,https://domenicoluciani.com
1,http://engineering.blogfoster.com/
1,http://tech.gc.com/
1,https://www.simple.com/engineering
1,https://www.wefearchange.org/
1,http://codefx.org
1,https://jerrygamblin.com/
1,https://samsaffron.com/
1,http://ieftimov.com/
1,https://medium.com/engineering-housing
1,https://codewithstyle.info/
1,http://www.born2data.com/
1,https://blog.evantahler.com/
1,https://useyourloaf.com/
1,https://blog.wearewizards.io/
1,https://una.im/
0,http://petersteinberger.com/
0,https://www.future-processing.pl/technical-blog/
0,https://nordicapis.com/blog/
0,https://reactjsnews.com
0,https://www.paperlesspost.com/blog/teams/tech/
0,https://enoent.fr
0,https://www.discovermeteor.com/blog
0,https://rachelbythebay.com/w/
0,https://about.zoosk.com/en/engineering-blog/
0,https://bandcamptech.wordpress.com/
0,https://haptik.ai/tech/
0,https://blogs.janestreet.com/category/ocaml/
0,http://blog.edankwan.com/
0,http://www.ebaytechblog.com/
0,https://blog.blakeerickson.com/
0,https://medium.com/prezi-engineering
0,http://tech.wonga.com/
0,http://blog.socialcast.com/engineering/
0,https://developer.zendesk.com/blog
0,http://norvig.com/
0,http://codebeforethehorse.tumblr.com/
0,https://blog.scrapinghub.com/
0,https://android-developers.blogspot.com/
0,http://www.rudyhuyn.com/blog/
0,http://engineering.hoteltonight.com/
0,https://quickbooks-engineering.intuit.com/
0,http://engineering.dailymotion.com/
0,http://blog.sensible.io/
0,http://engineroom.trackmaven.com/
0,https://johnresig.com/category/blog/
0,http://regulargeek.com/
0,https://devs.mailchimp.com/blog/
0,https://www.erlang-solutions.com/blog.html
0,http://lucumr.pocoo.org/
0,https://blog.chaps.io/
0,https://www.codementor.io/tutorial
0,http://blablatech.com/blog/
0,https://blog.stridenyc.com/
0,http://engineering.opensooq.com/
0,https://engineering.intercom.io/
0,https://adzerk.com/tech/
0,https://bytes.babbel.com/en/
0,http://www.gajotres.net/
0,https://medium.com/myntra-engineering
0,https://ivanursul.com/
0,https://www.viget.com/articles/category/code
0,http://word.bitly.com/
0,http://tech.wimdu.com/
0,https://www.justinweiss.com/articles/archives/
0,http://tldr.huddle.com/
0,http://blog.thislongrun.com/
0,http://engblog.polyvore.com/
0,http://sudhagar.com/
0,http://hungrygeek.holidayextras.co.uk/
0,http://engineering.harrys.com/
0,https://engineering.zomato.com/
0,https://engineering.surveymonkey.com/
0,http://engineering.ifttt.com/
0,https://blog.heroku.com/engineering
0,http://blog.apps.npr.org/
0,https://www.kickstarter.com/backing-and-hacking
0,https://devblog.songkick.com/
0,https://tech.lendinghome.com/
0,http://www.paulgraham.com/articles.html
0,https://blog.imgur.com/category/eng/
0,http://rhodesmill.org/brandon/
0,https://code.blender.org/
0,http://www.schibsted.pl/blog/
0,http://engineering.moneybird.com/
0,http://lifepluslinux.blogspot.in/
0,https://www.codeschool.com/blog/categories/development/
0,http://www.boxever.com/blog/
0,https://developer.salesforce.com/blogs/engineering/
0,https://medium.com/unexpected-token
0,http://tech.taskrabbit.com/
0,https://tech.showmax.com
0,https://stackoverflow.blog/engineering/
0,https://devdactic.com/devblog/
0,http://semaphoreci.com/blog/tags/engineering.html
0,http://codebetter.com/
0,https://www.zynga.com/blogs/engineering
0,https://matt.aimonetti.net/
0,http://development.wombatsecurity.com/
0,https://blog.clevertap.com/category/engineering/
0,https://crypt.codemancers.com/
0,https://blogs.msdn.com/b/abhinaba/
0,http://engineering.speedledger.com/
0,http://vanillajava.blogspot.com/
0,https://laravel-news.com/blog/
0,https://medium.com/@WoloxEngineering/
0,https://www.sharethis.com/category/engineering/
0,https://www.drivenbycode.com/
0,http://engineering.monsanto.com/
0,https://www.elastic.co/blog/category/engineering
0,https://research.facebook.com/blog/ai/
0,https://devblog.kogan.com/
0,http://www.theoculists.com/
0,http://tech.findmypast.com/
0,http://teropa.info/
0,http://antirez.com/latest/0
0,https://blog.developer.bazaarvoice.com/
0,http://engineering.brandwatch.com/
0,https://tech.jet.com/
0,http://www.nikola-breznjak.com/blog/
0,https://blog.twitch.tv/tagged/engineering
0,http://cloudengineering.autodesk.com/blog/
0,https://deferpanic.com/blog/
0,https://up.smartrecruiters.com
0,http://www.eharmony.com/engineering/
0,https://www.rosehosting.com/blog/
0,http://intentmedia.com/blog/
0,https://blog.docker.com/category/engineering/
0,http://blog.claymcleod.io/
0,https://engineering.linode.com/
0,https://developers.500px.com/
0,https://www.benefitfocus.com/blogs/design-engineering
0,http://evanhahn.com/
0,http://yifan.lu/
0,http://hyegar.com/archive/
0,https://corner.squareup.com/
0,https://clusterhq.com/blog/
0,http://research.baidu.com/category/baidutechblog/baidu-research-technology/
0,http://engineering.vine.co/
0,https://tech.geoblink.com
0,https://thatthinginswift.com/
0,http://blog.8thcolor.com/
0,https://medium.com/shyp-engineering
0,https://lab.getbase.com/category/engineering/
0,http://code.dblock.org/
0,http://making.fiftythree.com/
0,http://jlongster.com/archive
0,https://planet.mozilla.org/ateam/
0,http://deanhume.com/
0,https://engineering.opendns.com/
0,http://tech.opentable.com/
0,http://www.stackabuse.com/
0,http://bad-concurrency.blogspot.com/
0,http://engineering.panoramaed.com/
0,http://adventuresinautomation.blogspot.com/
0,http://engineering.laterooms.com/
0,https://zolmeister.com/
0,http://www.evanjones.ca/chronological.html
0,http://engineering.bittorrent.com/
0,https://upday.github.io/
0,http://deborah-digges.github.io/
0,https://www.amitmerchant.com/
0,https://blog.andrewray.me/
0,https://www.paulirish.com/
0,https://engineering.canva.com
0,http://engineering.chartbeat.com/
0,https://planet.mozilla.org/releng/
0,https://mirocupak.com/
0,https://engineering.pinterest.com/blog
0,https://code.oursky.com/
0,https://blog.engineyard.com/
0,https://jtreminio.com
0,http://elegantcode.com/
0,https://addyosmani.com/blog/
0,http://rea.tech/engineering/
0,http://techblog.thescore.com/
0,https://engineering.fundingcircle.com/
0,http://blog.pamelafox.org/
0,http://blog.jayfields.com
0,https://airbrake.io/blog/
0,https://blog.imaginea.com/
0,http://teespring.engineering/
0,http://radek.io
0,http://petr-mitrichev.blogspot.com/
0,http://aarvik.dk/
0,https://nativeguru.wordpress.com/
0,https://tech.just-eat.com/
0,https://www.runtastic.com/blog/en/category/tech/
0,http://redino.net/blog/
0,https://webuild.envato.com/
0,http://blog.mandrill.com/
0,https://developer.apple.com/swift/blog/
0,https://blog.bramp.net/
0,http://nshipster.com/
0,http://www.dabeaz.com/blog.html
0,https://idiosyncratic-ruby.com/
0,http://gofynd.io/blog
0,https://blog.fedecarg.com/
0,https://www.box.com/blog/engineering/
0,http://hackers.lookout.com/
0,https://code.mixpanel.com/
0,http://product.hubspot.com/blog/topic/engineering
0,http://stdout.in/
0,http://sartorialscience.myntrablogs.com/
0,https://tech.pic-collage.com/
0,https://medium.com/yammer-engineering
0,http://www.andrewcbancroft.com/
0,https://www.azavea.com/blog/category/software-development/
0,https://www.zillow.com/engineering/
0,http://dailytechvideo.com/
0,https://tech.trello.com/
0,http://www.billthelizard.com/
0,http://devblog.coolblue.nl/
0,https://bjornjohansen.no/
0,https://gocardless.com/blog/tagged/engineering/
0,http://www.afronski.pl/
0,https://mixmax.com/blog/tag/engineering
0,https://blog.siftscience.com/?category=Engineering
0,https://engineroom.teamwork.com/
0,https://www.miqu.me/
0,http://blog.vevo.com/
0,http://wso2.com/library/
0,https://engineering.zulily.com/
0,http://blog.memsql.com/content/engineering/
0,https://themodernlife.github.io/
0,http://tech.secretescapes.com/
0,https://team.goodeggs.com
0,http://engineering.intenthq.com/
0,http://engineering.wattpad.com/
0,https://capgemini.github.io/
0,https://engineering.linkedin.com/blog/topic/slideshare
0,http://engineering.criteolabs.com/
0,http://www.client9.com/
0,https://crowdfire.engineering/
0,https://blog.pchudzik.com/
0,http://tech.opentable.co.uk/
0,https://www.sakib.ninja
0,https://firstdoit.com/
0,https://nickdesaulniers.github.io/
0,http://www.fuzzyblog.io/blog/
0,http://www.dereuromark.de/
0,http://www.hanselman.com/blog/
0,http://blog.mallow-tech.com/
0,https://natashatherobot.com
0,https://engineering.gnip.com/
0,http://blog.rdlh.io/
0,https://tech.grammarly.com/blog/index.html
0,http://blog.prolificinteractive.com/category/development/
0,https://engineering.giphy.com/
0,https://target.github.io/
0,https://engineering.groupon.com/
0,https://www.hostinger.com/blog/engineering/
0,http://code.hireart.com/
0,https://brendaneich.com/
0,https://liveramp.com/engineering/
0,http://www.adamtuliper.com/
0,https://blog.sleeplessbeastie.eu/
0,https://tech.homeaway.com/
0,https://omniti.com/seeds/stop-collaborate-and-listen-notify
0,http://www.nateberkopec.com/
0,https://allegro.tech
0,https://neverfriday.com/blog/
0,http://undocumentedmatlab.com/
0,http://engineering.medallia.com/blog/
0,http://www.cimgf.com/
0,https://techblog.badoo.com/
0,https://zeemee.engineering/
0,https://www.smallsurething.com/
0,https://engineering.haus.com
0,https://jaketrent.com
0,https://blog.postmates.com/tagged/engineering
0,https://tech.ticketmaster.com/
0,https://github.com/blog/category/engineering
0,http://thelazylog.com/
0,http://neopythonic.blogspot.com/
0,https://www.buzzfeed.com/techblog
0,http://codevoyagers.com/
0,https://engineering.zenefits.com/posts/
0,https://blog.nraboy.com/
0,http://jakeyesbeck.com/
0,http://blog.avenuecode.com/
0,http://eng.rightscale.com/
0,https://developerblog.redhat.com
0,http://weblog.jamisbuck.org/
0,http://blog.blundellapps.co.uk
0,http://artplustech.com/
0,http://fbrnc.net/
0,http://www.michaelgallego.fr/articles/
0,https://engineering.clever.com/
0,https://engineering.pivotal.io
0,https://www.metachris.com/blog/
0,http://engineering.snapdeal.com/category/code/
0,https://radimrehurek.com/blog/
0,http://engineering.indeedblog.com/blog/
0,http://engineering.webengage.com/
0,https://juristr.com/blog/
0,https://engineroom.settled.co.uk/
0,https://www.airpair.com/software-experts
0,https://dev.firmafon.dk/blog/
0,https://www.9lessons.info/
0,https://michaelcrump.net/
0,http://jakewharton.com/blog
0,http://www.machinalis.com/blog/
0,https://99designs.com/tech-blog/
0,https://segment.com/blog/categories/engineering/
0,https://blog.asana.com/category/eng/
0,https://binary-studio.com/blog/
0,http://blog.joingrouper.com/
0,https://medium.com/jobteaser-dev-team/
0,https://developer.atlassian.com/blog/
0,http://dailyjs.com/
0,https://techblog.king.com/
0,http://blog.rtwilson.com/
0,https://jobandtalent.engineering/
0,https://jollygoodcode.github.io/
0,http://blog.parse.com/
0,http://tech.zumba.com/
0,http://www.codenameone.com/blog.html
0,http://eng.localytics.com/
0,http://alanstorm.com/
0,https://blog.sourceclear.com/
0,http://blog.venmo.com/?category=Engineering
0,http://blog.vngrs.com/
0,https://medium.com/medium-eng
0,https://tech.xing.com/
