Points,URL
127,https://medium.com/netflix-techblog/artwork-personalization-c589f074ad76
127,https://dave.cheney.net/2017/06/18/simplicity-debt-redux
126,http://nullprogram.com/blog/2017/11/03/
126,http://blog.atom.io/2017/06/13/atom-1-18.html
126,http://blog.atom.io/2017/08/08/atom-1-19.html?hn
125,http://lambda-the-ultimate.org/node/5419
125,https://danluu.com/wat/
125,https://martinfowler.com/articles/session-secret.html
124,https://tech.instacart.com/the-garden-instacarts-physical-staging-environment-7204fd063616
123,https://ponyfoo.com/articles/tc39-ecmascript-proposals-future-of-javascript
123,https://blog.filippo.io/the-scrypt-parameters
123,https://blogs.msdn.microsoft.com/oldnewthing/20031010-00/?p=42203
122,https://blogs.msdn.microsoft.com/dotnet/2017/09/26/build-a-web-service-with-f-and-net-core-2-0/
121,https://oleb.net/blog/2017/06/chris-lattner-wwdc-swift-panel/
120,https://www.codelitt.com/blog/web-assembly/
120,https://realm.io/news/eventually-consistent-making-a-mobile-first-distributed-system/
120,https://blog.cryptographyengineering.com/2017/09/15/patching-is-hard-so-what/
119,https://blog.golang.org/survey2016-results
119,http://dragan.rocks/articles/17/Clojure-Numerics-4-Singular-Value-Decomposition-SVD
119,https://githubengineering.com/how-four-native-developers-wrote-an-electron-app/
118,https://danluu.com/butler-lampson-1999/
117,https://idea.popcount.org/2017-01-06-select-is-fundamentally-broken/
117,https://maryrosecook.com/blog/post/little-lisp-interpreter
116,https://blogs.nvidia.com/blog/2017/11/01/gtc-dc-project-maven-jack-shanahan/
114,https://snyk.io/blog/serverless-security-implications-from-infra-to-owasp/
114,https://dave.cheney.net/2017/06/15/simplicity-debt
113,https://engineering.mongodb.com/post/farewell-solaris
112,https://www.confluent.io/blog/turning-the-database-inside-out-with-apache-samza/
112,https://www.cockroachlabs.com/blog/implementing-backup/#
112,http://mattwarren.org/2017/03/30/The-.NET-IL-Interpreter/
111,https://blogs.windows.com/msedgedev/2017/03/23/strengthening-microsoft-edge-sandbox/
111,http://blog.klipse.tech/lua/2017/03/19/blog-lua.html
111,https://blog.algolia.com/improving-web-performance-to-mirror-engine-speed/
109,http://www.mattwarren.org/2017/10/12/Analysing-C-code-on-GitHub-with-BigQuery/
108,https://www.mikeash.com/pyblog/friday-qa-2017-07-28-a-binary-coder-for-swift.html
108,https://snyk.io/blog/77-percent-of-sites-still-vulnerable/
107,https://making.pusher.com/go-tool-trace/
106,http://manu.sporny.org/2014/json-ld-origins-2/
106,https://blogs.msdn.microsoft.com/dotnet/2017/05/02/announcing-the-net-framework-4-7-general-availability/
105,http://lambda-the-ultimate.org/node/5436
105,https://blog.cryptographyengineering.com/2017/07/02/beyond-public-key-encryption/
105,https://blog.filippo.io/restic-cryptography/
104,https://spin.atomicobject.com/2013/03/05/why-haskell/
104,http://thedailywtf.com/articles/all-you-zombies
104,https://dave.cheney.net/2017/08/09/typed-nils-in-go-2
103,http://lambda-the-ultimate.org/node/5426
103,https://kev.inburke.com/kevin/node-js-string-encoding/
103,https://jvns.ca/blog/2017/06/03/async-io-on-linux--select--poll--and-epoll/
103,https://developer.ibm.com/dwblog/2017/quantum-computing-coding-ibm-q-experience/?social_post=950668007&fst=Discover&linkId=39105389
101,https://drivy.engineering/running-capybara-headless-chrome/
101,http://mattwarren.org/2017/11/08/A-DoS-Attack-against-the-C-Compiler/
100,http://blog.robertelder.org/7-weird-old-things-about-the-c-preprocessor/
100,https://spin.atomicobject.com/2017/03/24/ruby-to-crystal-test/
98,https://jeremykun.com/2012/03/22/nintendo-np-hard/
98,https://databricks.com/blog/2017/08/31/cost-based-optimizer-in-apache-spark-2-2.html
98,http://www.2ality.com/2016/02/ecmascript-2017.html
97,https://www.digitalocean.com/community/tutorials/how-thou-canst-maketh-a-fine-program-in-fortran
97,https://dave.cheney.net/2017/09/06/why-i-joined-heptio
97,https://jvns.ca/blog/2017/12/21/bindgen-is-awesome/
97,http://eli.thegreenplace.net/2017/notes-on-debugging-clojure-code/
96,https://spin.atomicobject.com/2017/11/10/readline-productivity/#.WgW8UVUY8bA.hackernews
95,https://jeremykun.com/2014/02/24/elliptic-curves-as-python-objects/
95,https://www.mikeash.com/pyblog/friday-qa-2017-11-10-observing-the-a11s-heterogenous-cores.html
94,https://deezer.io/real-time-music-visualization-on-the-iphone-gpu-579d631272d3
94,https://spin.atomicobject.com/2017/07/05/asking-for-help/
93,http://engineering.khanacademy.org/posts/memcached-fms.htm
92,https://githubengineering.com/stretching-spokes/
91,https://blogs.msdn.microsoft.com/oldnewthing/20170526-00/?p=96235
91,https://zapier.com/engineering/graph-apis/
91,https://githubengineering.com/github-debug/
90,http://engineering.curalate.com/2017/02/01/mechanical-turk-lessons-learned.html
90,https://blogs.msdn.microsoft.com/pythonengineering/2017/11/09/don-jayamanne-joins-microsoft/
90,http://www.datchley.name/recursion-tail-calls-and-trampolines/
89,https://engineering.linkedin.com/blog/2017/10/sleek-and-fast--speeding-up-your-fat-web-client
89,http://dragan.rocks/articles/17/Clojure-Numerics-3-Special-Linear-Systems-and-Cholesky-Factorization
89,https://blog.nelhage.com/2015/11/what-mongodb-got-right/
88,https://blogs.nvidia.com/blog/2017/12/28/ai-prosthesis-skywalker/
88,https://snyk.io/blog/xss-attacks-the-next-wave/
87,https://codeascraft.com/2017/05/15/how-etsy-ships-apps/
87,http://www.mattwarren.org/2017/07/10/Memory-Usage-Inside-the-CLR/
87,https://blogs.dropbox.com/tech/2017/04/deploying-brotli-for-static-content/
86,https://os.phil-opp.com/
86,https://security.googleblog.com/2017/09/broadening-hsts-to-secure-more-of-web.html
86,https://www.cockroachlabs.com/blog/how-were-building-a-business-to-last/?m=1
86,https://spin.atomicobject.com/2014/09/03/visualizing-garbage-collection-algorithms/
85,http://dragan.rocks/articles/17/CUDA-and-cuBLAS-GPU-matrices-in-Clojure
85,https://zachholman.com/posts/slow-exits
85,https://blog.jessfraz.com/post/this-industry-is-fucked/
84,https://blog.jetbrains.com/kotlin/2017/11/kotlinnative-v0-4-released-objective-c-interop-webassembly-and-more/
82,https://realm.io/news/realm-mobile-platform-1-0-general-availability/
82,https://8thlight.com/blog/uncle-bob/2012/08/13/the-clean-architecture.html
80,https://www.joelonsoftware.com/2002/01/06/fire-and-motion/
80,https://blog.codeship.com/running-1000-containers-in-docker-swarm/
80,https://medium.com/javascript-scene/the-outrageous-cost-of-skipping-tdd-code-reviews-57887064c412
80,http://www.datchley.name/currying-vs-partial-application/
